transaction_id,customer_id,amount,currency,status,payment_method,transaction_date,merchant_country,risk_score
T700001,C1108,538.28,EUR,completed,paypal,2025-09-16,ES,0.371
T700002,C1016,537.43,EUR,completed,transfer,2025-01-22,FR,0.01
T700003,C1001,264.2,EUR,completed,card,2025-06-05,FR,0.089
T700004,C1004,569.55,EUR,completed,apple_pay,2025-05-17,ES,
T700005,C1132,847.56,EUR,completed,apple_pay,2025-03-04,FR,0.467
T700006,C1131,95.12,EUR,completed,paypal,2025-09-09,ES,0.552
T700007,C1016,-45.9,EUR,completed,transfer,2025-03-15,FR,0.318
T700008,C1044,32.79,EUR,completed,card,2025-06-28,FR,0.562
T700009,C1006,51.2,EUR,refunded,card,2025-08-14,FR,0.214
T700010,C1058,42.16,EUR,refunded,paypal,2025-06-11,FR,0.78
T700011,,261.61,EUR,completed,apple_pay,2025-02-04,FR,0.351
T700012,C1057,354.4,EUR,completed,apple_pay,2025-01-12,DE,0.219
T700013,C1045,148.59,EUR,completed,card,2025-05-29,FR,0.327
T700014,C1086,456.02,EUR,completed,apple_pay,2025-02-03,NL,0.38
T700015,C1090,473.0,eur,completed,apple_pay,2025-05-26,FR,0.392
T700016,C1072,566.31,EUR,completed,paypal,2025-05-04,FR,0.083
T700017,C1070,465.41,EUR,pending,apple_pay,2025-08-28,ES,0.724
T700018,C1041,315.89,EUR,completed,apple_pay,2025-07-12,FR,0.523
T700019,C1077,808.54,EUR,completed,paypal,2025-08-20,FR,0.848
T700020,C1067,508.58,EUR,completed,transfer,2025-05-07,FR,0.459
T700021,C1033,742.17,EUR,completed,card,2025-05-19,DE,0.688
T700022,C1008,560.61,EUR,Completed,transfer,2025-01-08,FR,0.077
T700023,C1046,660.84,EUR,completed,paypal,2025-02-25,FR,0.822
T700024,C1129,645.89,EUR,completed,transfer,2025-02-15,FR,0.114
T700025,C1103,243.6,EUR,completed,apple_pay,2025-03-09,IT,0.159
T700026,C1094,579.28,EUR,completed,transfer,2025-07-31,FR,
T700027,C1119,214.92,EUR,pending,transfer,2025-02-20,FR,0.104
T700028,C1057,607.14,EUR,completed,card,2025-03-24,FR,0.681
T700029,C1040,326.73,EUR,completed,transfer,2025-04-02,FR,0.205
T700030,C1128,610.56,EUR,completed,apple_pay,2025-06-28,IT,0.101
T700031,C1074,766.4,EUR,pending,card,2025-05-06,FR,0.033
T700032,C1082,182.57,EUR,refunded,card,2025-08-02,FR,0.354
T700033,C1057,242.59,EUR,completed,apple_pay,2025-08-15,IT,0.622
T700034,C1116,434.82,EUR,completed,paypal,2025-08-08,FR,0.762
T700035,C1033,418.64,EUR,completed,transfer,2025-03-31,FR,0.872
T700036,C1061,464.62,EUR,completed,card,2025-03-28,FR,0.37
T700037,C1052,542.85,EUR,completed,apple_pay,2025-09-05,FR,0.218
T700038,C1132,589.34,EUR,completed,transfer,2025-06-03,FR,0.637
T700039,C1062,286.87,EUR,pending,apple_pay,2025-03-28,FR,0.139
T700040,C1119,714.37,€,completed,paypal,2025-02-28,FR,0.011
T700041,C1125,179.44,EUR,completed,transfer,2025-06-05,FR,0.631
T700042,C1115,818.64,EUR,completed,apple_pay,2025-08-28,FR,0.261
T700043,C1019,43.52,EUR,completed,apple_pay,2025-02-12,DE,0.299
T700044,C1068,96.94,EUR,completed,apple_pay,2025-09-08,FR,0.489
